LandsatID,Hylak_id,date,Aerosol,Blue,Red,Green,Nir,Swir1,Swir2,TIR1,TIR2,sat,pCount_dswe1,pCount_dswe3,year,dWL,month,doy,period,lakeid,fui,season
1_1_LT05_024030_20100701,111106,2010-07-01,-99,229.50927373504337,221.23125951505568,312.49778616795027,265.75303320695934,66.4161168454742,46.9426147936356,4269.365945661015,-99,l5,64,0,2010,547,Jul,182,"(2008,2011]",WI,8,Summer (jja)
1_1_LT05_024030_20100717,111106,2010-07-17,-99,228.51418497787458,207.90234288959184,373.0400388459005,242.705516477066,46.6714921148052,47.873580201623874,4351.174578878765,-99,l5,64,0,2010,543,Jul,198,"(2008,2011]",WI,8,Summer (jja)
1_1_LT05_024030_20100818,111106,2010-08-18,-99,202.68107402391536,198.68291641207801,339.27434822954217,192.90081088984923,28.003596746015763,17.400314358354947,4251.046542136117,-99,l5,64,0,2010,547,Aug,230,"(2008,2011]",WI,8,Summer (jja)
1_1_LT05_024030_20101005,111106,2010-10-05,-99,252.4271365121778,232.5206202926527,371.0523696571915,162.34125745572697,79.0809225509701,70.35799580035628,4111.66611425936,-99,l5,64,0,2010,543,Oct,278,"(2008,2011]",WI,8,Fall (so)
1_1_LT05_024030_20101021,111106,2010-10-21,-99,332.6015288256854,332.51060977419013,404.86743145693964,340.92235522536885,255.707599394224,177.8760319746623,4005.8892931851005,-99,l5,64,0,2010,552,Oct,294,"(2008,2011]",WI,9,Fall (so)
1_1_LT05_024030_20110330,111106,2011-03-30,-99,561.9237390635068,547.4722780490798,694.4134033797504,392.2301109411152,66.4161168454742,60.01897506693231,3852.2460285945913,-99,l5,64,0,2011,549,Mar,89,"(2008,2011]",WI,8,NA
1_1_LT05_024030_20110517,111106,2011-05-17,-99,279.40609288649586,241.76490186743456,373.0400388459005,190.98884111811816,76.36048508047234,49.736923475670565,4121.702624939048,-99,l5,64,0,2011,536,May,137,"(2008,2011]",WI,8,Spring (am)
1_1_LT05_024030_20110704,111106,2011-07-04,-99,196.73030735452085,158.30003985603884,271.9003376438808,196.72554950615083,43.99393086427257,14.655441708774797,4306.101224205733,-99,l5,64,0,2011,531,Jul,185,"(2008,2011]",WI,8,Summer (jja)
1_1_LT05_024030_20110720,111106,2011-07-20,-99,513.5537550566995,478.21442909519936,628.9602556258997,818.4112648540772,428.32433241945483,294.3382192683823,4206.401155658663,-99,l5,34,10,2011,542,Jul,201,"(2008,2011]",WI,8,Summer (jja)
1_1_LT05_024030_20110805,111106,2011-08-05,-99,440.95199709084267,353.2250164703365,490.6337966951737,465.1550547689633,144.50753370319848,74.13176428412092,4261.220018518471,-99,l5,64,0,2011,510,Aug,217,"(2008,2011]",WI,7,Summer (jja)
